Recipe,URL,Ingredients,Type
Celery Granita,https://food52.com/recipes/16589-celery-granita," green celery rib, sliced teaspoon celery seeds cup granulated sugar cup water ribs of green celery, sliced "" thin about  cups cup celery simple syrupJuice of half  lime tablespoon st. germain liqueurPinch of saltAceto balsamico di modena the good stuff to drizzle optional",Desserts and other sweets
Celery soup,https://www.bbcgoodfood.com/recipes/celery-soup," tbsp olive oil celery, sliced, with tough strings removed garlic clove, peeled potatoes, peeled and cut into chunks500ml vegetable stock100ml milkcrusty bread, to serve",Meat dishes
Celery Salad with Celery Root and Horseradish recipes,http://www.bonappetit.com/recipe/celery-salad-with-celery-root-and-horseradish," medium celery root about  pound large celery stalks, thinly sliced on  sharp diagonal, plus  cup celery leaves large celery stalks, thinly sliced on  sharp diagonal, plus  cup celery leaves small shallot, thinly sliced into rings tablespoon finely grated lemon zest tablespoon prepared horseradishkosher saltfreshly ground black pepper cup olive oil tablespoons fresh lemon juice cup packed flat-leaf parsley leaves",Desserts and other sweets
Celery-And-Celery-Root Salad,http://www.foodandwine.com/recipes/celery-and-celery-root-salad," tablespoon cider vinegar cup sunflower oilSalt and freshly ground pepper medium celery root about  pound, peeled and cut into thin -inch-long matchsticks celery ribs, thinly sliced on the diagonal, plus  cup celery leaves large radishes, very thinly sliced cup parsley leaves",Meat dishes
Celery Juleps,http://www.thebittenword.com/thebittenword/2010/04/celery-juleps-refrigerator-juleps-classic-mint-juleps.html," ounces celery about  large ribs cup plus  tablespoon sugar teaspoon celery seeds teaspoon kosher salt ounces   cups Kentucky bourbon cup plus  tablespoons fresh lemon juice from  to  lemons ounces   cups seltzer water or club soda optionalCelery tops, for garnish optional",Desserts and other sweets
Double Celery Soup,http://www.eatingwell.com/recipe/251297/double-celery-soup/," cups sliced celery -inch pieces cups diced celery root see Tip or yellow potatoes  -inch pieces shallots, quartered tablespoons extra-virgin olive oil, plus more for serving teaspoon salt teaspoon ground pepper cups low-sodium chicken or vegetable broth, heated teaspoons chopped celery leaves or parsley",Meat dishes
Celery-and-Celery-Root Salad,http://www.delish.com/cooking/recipe-ideas/recipes/a10150/celery-celery-root-salad-recipe/, tbsp. cider vinegar . sunflower oilsaltFreshly ground pepper medium celery root celery ribs . celery leaves large radishes . parsley leaves,Meat dishes
Onion Marmalade,https://www.epicurious.com/recipes/food/views/onion-marmalade-355800, cup extra-virgin olive oil  cups chopped onion cup water tablespoons sugar tablespoons dried cranberries teaspoon yellow mustard seeds cup white wine vinegar,Chicken dishes
Anchovy Onion Butter,https://food52.com/recipes/26778-anchovy-onion-butter," large onion, diced pinch sugar anchovies tablespoon anchovy oil cup butter  stick",Chicken dishes
Onion Jam,https://www.tastingtable.com/entry_detail/chefs_recipes/11336/Savory_onion_jam_is_our_go_to_fall_condiment.htm," tablespoon extra-virgin olive oil medium vidalia or other sweet onion, thinly sliced medium red onion, thinly sliced teaspoon dried marjoram teaspoon dried rosemary teaspoon dried thyme teaspoon kosher salt teaspoon freshly ground black pepper tablespoon honey cup dry red wine cup balsamic vinegar cup red wine vinegar",Chicken dishes
Onion Frittata,http://www.bonappetit.com/recipes/2011/05/onion-frittata," large eggs cup finely grated Parmesan large fresh basil leaves, torn into pieces large fresh sage leaves, minced tsp. minced fresh rosemary tsp. kosher salt tsp. freshly ground black pepper Tbsp. extra-virgin olive oil cup thinly sliced onion cup whole-milk ricotta",Chicken dishes
Onion Sandwiches,http://www.cookstr.com/recipes/onion-sandwiches," loaf brioche cup mayonnaise small onion, sliced very thin cup finely chopped parsleySalt",Chicken dishes
Macerated Red Onion,https://www.realsimple.com/food-recipes/browse-all-recipes/macerated-red-onion," medium red onion, thinly sliced  cups cup red wine vinegarkosher salt",Chicken dishes
Onion Rings,http://www.foodandwine.com/recipes/onion-rings,"Vegetable oil, for frying cup all-purpose flour cup fine cornmeal  tablespoons cornstarch teaspoon fine salt, plus more for seasoning cup buttermilk large egg large sweet onion, cut into -inch-thick rings",Chicken dishes
Onion Bhaji,http://cookalmostanything.blogspot.com/2006/11/zwiebeltag-onion-day.html,"  large onion, halved and sliced thinly lengthways tbsp fresh coriander leaves, sliced finely cup besan flour tsp turmeric tsp ground cumin tsp garam masala tsp chilli powder  eggfreshly ground salt, to taste",Chicken dishes
Cranberry-Onion Jam,http://www.sfgate.com/food/recipes/detail.html?rid=18466&sorig=qs," tablespoons olive oil cup sliced onion, loosely packed about  onion jalapeno, half the seeds removed, finely minced teaspoon kosher saltFreshly ground pepper tablespoons Calvados cups fresh cranberries, about   ounces see Note cup brown sugar cup water cup freshly squeezed orange juice",Chicken dishes
Onion Jam,https://www.foodnetwork.com/recipes/finalist-damaris-phillips/onion-jam-2251909,"  teaspoons unsalted butter Vidalia onions, julienned if not in season, any sweet onion will do lemons, zested and juiced teaspoon minced fresh gingerKosher salt cup firmly-packed brown sugar teaspoon ground corianderFreshly ground black pepper",Chicken dishes
Vegetable Stock,https://www.epicurious.com/recipes/food/views/vegetable-stock-51140650," tablespoon olive oil medium onions, unpeeled, cut into "" pieces celery stalks, cut into "" pieces large carrots, peeled, cut into "" pieces ounces crimini baby bella or button mushrooms, halved if large small fennel bulb, cut into "" pieces head of garlic, halved crosswise sprigs flat-leaf parsley bay leaf teaspoon whole black peppercorns",Salads
Vegetable stock,http://www.bbc.co.uk/food/recipes/vegetablestock_90306," tbsp olive oil onion, diced leek, diced carrot, diced small bulb fennel, diced garlic cloves, left whole and gently crushedAbout  black peppercorns- button mushrooms stick celery, diced tomatoes, diced- fresh parsley stalks, roughly torn",Salads
Vegetable Stock,http://www.marthastewart.com/343754/vegetable-stock," tablespoons olive oil large onion, half coarsely chopped and half left whole large ribs celery, cut into -inch pieces medium carrots, cut into -inch pieces cloves garlic, thinly sliced sprigs fresh flat-leaf parsley sprigs fresh basil sprigs fresh thyme bay leaf teaspoon whole black peppercornsCoarse salt and freshly ground black pepper",Salads
Vegetable Stock,http://www.cookstr.com/recipes/vegetable-stock-6," cups   water stalks celery, coarsely chopped carrots, scrubbed and coarsely chopped onions, coarsely chopped cloves garlic sprigs parsley bay leaves tsp  ml salt black peppercorns",Salads
Vegetable Stock,https://www.menshealth.com/recipes/vegetable-stock," cups water stalks celery with leaves, chopped carrots, chopped cup chopped green cabbage cup mushrooms onion, chopped cloves garlic sprigs fresh parsley bay leaves",Salads
Vegetable Stock,http://www.delish.com/cooking/recipe-ideas/recipes/a235/vegetable-stock-homemade-soup-recipe/, large onions medium carrots stalk celery leaves included fresh basil leaves bay leaves clove garlic whole black peppercorns sprig fresh parsley . water,Salads
Vegetable Stock,https://www.epicurious.com/recipes/food/views/vegetable-stock-51199210," teaspoons canola oil carrots, chopped stalks celery, chopped, preferably with leaves leeks, rinsed well and chopped onions, with skins, chopped turnip, with skins, chopped tablespoon salt to  outer leaves of green cabbage cups broccoli stems cups kale stems",Salads
Vegetable Stock,http://www.cookstr.com/recipes/vegetable-stock-13," quarts .  water carrot, peeled and cut into large pieces celery rib, cut into large pieces small onion, roughly chopped stalks parsley, washed",Salads
Basic Vegetable Stock,https://www.marthastewart.com/335395/basic-vegetable-stock," tablespoons extra-virgin olive oil large onions, quartered large carrots, quartered, tops reserved celery stalks, quartered large cloves garlic, crushed large leeks, washed, trimmed, and tough outer leaves removed sprigs fresh thyme sprigs fresh rosemary bay leaves whole black peppercorns whole clove quarts water",Salads
Homemade Vegetable Stock,http://www.marthastewart.com/332810/homemade-vegetable-stock," tablespoon unsalted butter tablespoon olive oil onion, about  pound, coarsely chopped carrots, about  pound, coarsely chopped parsnips, about  pound, coarsely chopped stalk celery, coarsely chopped bunch about   pounds red or green Swiss chardSeveral sprigs fresh thymeSeveral sprigs fresh flat-leaf parsley dried bay leaf",Salads
Fried Spiced Red Lentils recipes,http://www.foodandwine.com/recipes/fried-spiced-red-lentils," cups red lentils, soaked for  hour and drainedcanola oil teaspoon smoked paprikakosher saltpepper",Sauces and sides
Red Lentils with Garlic and Onion,http://honestcooking.com/red-lentils-with-garlic-and-onion/," cups  ml uncooked red lentils, rinsed cups  ml water teaspoon ground turmeric teaspoon salt tablespoons canola oil large onion, thinly sliced cloves garlic, thinly sliced cup  ml whole wheat cous cous cup  ml boiling waterOlive oil tablespoons chopped parsley",Chicken dishes
Dinner Tonight: Curried Red Lentils with Coconut Milk Recipe,http://www.seriouseats.com/recipes/2008/11/dinner-tonight-curried-red-lentils-with-cocon.html," cup red lentils cups vegetable stock teaspoon turmeric ounces ghee or butter onion, finely chopped cloves garlic, finely chopped green chili, seeded and finely chopped teaspoons ground cumin teaspoons ground coriander seed tomatoes, seeded and chopped cup coconut milk cup basmati rice, cooked, or naan bread",Chicken dishes
Creamy Instant Pot Coconut Red Lentils,https://food52.com/recipes/81862-creamy-instant-pot-coconut-red-lentils, pound dry red lentils small onion - diced cloves of garlic - minced tablespoon minced fresh ginger teaspoon turmeric teaspoons vegetable boullion paste ounces canned diced tomato ounces canned coconut milk cup chopped kale small carrots - diced lime - juiced. cups water,Sauces and sides
Red Lentils and Kale with Miso recipes,http://www.epicurious.com/recipes/food/views/red-lentils-and-kale-with-miso-51123690," cup dried red lentils, rinsed cups Brain-Boosting Broth cloves garlic, chopped sweet potato, peeled and chopped celery stalks, chopped yellow onion, chopped cups Roma tomatoes, chopped tablespoon white miso bunch kale, stemmed and choppedsaltfreshly ground black pepper fresh sage leaves, finely chopped, plus extra for garnish sheet nori, julienned, for garnish",Sauces and sides
Misir Wot (Spicy Red Lentils),https://www.foodnetwork.com/recipes/misir-wot-spicy-red-lentils-3452190," cups red lentils medium yellow onions, finely chopped small tomatoes, cored and chopped cup olive oil tablespoons berbere Ethiopian Spice Mix teaspoon ground nutmegSea saltInjera or your favorite whole grain, for serving",Chicken dishes
Curried Red Lentils,https://www.menshealth.com/recipes/curried-red-lentils-0," cup red lentils, sorted and rinsed tablespoon extra-virgin olive oil cup chopped onions cup chopped scallions green bell pepper, diced tablespoon chopped, canned, mild green chile peppers tablespoon all-purpose flour teaspoons curry powderground red pepper cup low-sodium chicken broth teaspoon reduced-sodium soy sauce teaspoon rice vinegar tablespoon chopped fresh cilantro",Chicken dishes
Red Lentils with Cauliflower and Chicken Sausage,http://www.thedailymeal.com/red-lentils-cauliflower-and-chicken-sausage-recipe,"One .-ounce can diced tomatoes Cup red lentils, picked through, rinsed, and drained Ounces cooked chicken sausage, sliced Tablespoon canola oil Tablespoon brown mustardOne -ounce package frozen cauliflower, thawed and drained Cups low-sodium chicken broth Teaspoon salt",Chicken dishes
Heidi’s Red Lentil Hummus recipes,http://thestonesoup.com/blog/2015/12/13-favourite-cookbooks-of-2015/," 9oz red lentils cup tahini- tablespoons lemon cloves garlic, crushed",Chicken dishes
Dinner Tonight: Moong Dal and Red Lentils with Browned Onions Recipe,http://www.seriouseats.com/recipes/2011/02/dinner-tonight-moong-dal-and-red-lentils-vegetarian-indian-recipe.html," cup moong dal cup split red lentils masoor dal cups water teaspoon ground turmeric  teaspoons salt tablespoons ghee, clarified butter, or vegetable oilGenerous pinch asafetida teaspoon whole cumin seeds- dried red chiles small onion, cut into thin ringsCooked white rice, for serving",Chicken dishes
Tomato Gravy,http://www.seriouseats.com/recipes/2013/01/sauced-tomato-gravy-recipe.html," cup bacon drippings cup all-purpose flour tablespoon tomato paste -ounce can diced tomatoes, with juice cup milk cup heavy creamKosher salt and freshly ground black pepper",Meat dishes
Grated Tomato,https://food52.com/recipes/72140-grated-tomato," large tomato   lbpinch of salt, to taste",Meat dishes
Tomato passata,https://www.bbcgoodfood.com/recipes/tomato-passata,"1kg tomato , halved or quartered garlic cloves , halved tbsp olive oil tsp caster sugar",Meat dishes
Tomato And Avocado Sandwich,http://www.saveur.com/article/Recipes/Tomato-and-Avocado-Sandwich," slices seven-grain bread tsp. mayonnaise slices ripe tomato about   medium-sized tomato avocado, peeled and sliced",Sauces and sides
Tomato Daiquiri,http://www.jeffreymorgenthaler.com/2004/tomato-daquiri/, oz Mt. Gay Eclipse rum oz fresh lime juice oz simple syrup tsp organic tomato puree dash Angostura bitters,Meat dishes
Tomato Marmalade recipes,http://www.marthastewart.com/315286/tomato-marmalade,  cups olive oil cup tomato paste tablespoons sugar cup sherry-wine vinegar Preserved Tomato Halves sprigs fresh thyme fresh bay leaf teaspoon coarse salt,Meat dishes
Tomato Stack,http://www.eatingwell.com/recipe/267072/tomato-stack/," whole wheat English muffin, toasted thin red andor yellow tomato slices ounce fresh mozzarella, cut into  slices teaspoon snipped fresh basil teaspoon olive oilSaltCracked black pepper grape tomato or cherry tomato, halved optional",Meat dishes
Tomato Chips,https://www.foodnetwork.com/recipes/tomato-chips-2269209, medium firm tomato sliced  inch thicksalt,Sauces and sides
Tomato Salt,http://www.myrecipes.com/recipe/tomato-salt, tablespoons unsalted tomato paste  tablespoons Maldon sea salt flakes,Desserts and other sweets
Tomato Sauce,http://www.cookstr.com/recipes/tomato-sauce-2-penelope-casas," tablespoons olive oil tablespoons chopped onion cloves garlic, minced fresh medium tomatoes, skinned and chopped, or  canned plum tomatoes tablespoons tomato paste tablespoons water tablespoons minced parsleySaltFreshly ground pepperPinch sugar cup dry white wine",Sauces and sides
Lentils,https://www.marthastewart.com/1142522/lentils, cups lentilsDried bouquet garni teaspoon coarse salt teaspoon freshly ground pepper,Sauces and sides
Curried Lentils,http://www.delish.com/cooking/recipe-ideas/recipes/a21796/curried-lentils-recipe-del0813/," . dry red lentils, for   cups cooked lentils tsp. curry powder",Sauces and sides
Coconut Lentils,https://food52.com/recipes/11840-coconut-lentils," tablespoon canola oil yellow onion teaspoon cumin seeds teaspoon mustard seeds teaspoon curry powder teaspoon cinnamon teaspoon cardamom teaspoon salt cup black lentils can of coconut milkToasted coconut, optional, for garnish",Sauces and sides
Ham Hock & Lentils,http://www.bbcgoodfood.com/recipes/1341/," heaped tbsp coarsely chopped fresh parsley , flatleaf or curlyFOR THE LENTILS ham hocks, about .3kg3lb each celery sticks, cut into thirds crossways bay leaf carrots , quartered lengthways few sprigs fresh thyme celery stick, finely diced onion , quartered large onion , finely diced large carrot , finely diced. Puy lentils large knob of butter",Sauces and sides
Parisian Lentils recipes,http://thestonesoup.com/blog/2012/12/a-lesson-from-my-new-favourite-cookbook/, 7oz french style green lentils aka puy lentils tablespoons sherry vinegar tablespoons soy sauce tablespoons full fat ricotta large handfuls flat leaf parsley leaves,Sauces and sides
Honey Lentils,http://www.cookstr.com/recipes/honey-lentils," cups brown lentils cups water red onion, diced cup shredded carrot -ounce can garbanzo beans, drained and rinsed teaspoon dry mustard teaspoon kosher salt teaspoon ground ginger tablespoons gluten-free soy sauce cup honey plus  tablespoon if needed dried bay leaf, or  fresh",Sauces and sides
Indian Lentils,https://www.menshealth.com/recipes/indian-lentils," cup lentils cups water tablespoon vegetable oil teaspoon turmeric teaspoon ground cumin clove garlic, minced medium onion, sliced plum tomato, quartered teaspoon cayenne pepper teaspoon salt",Sauces and sides
Boiled Lentils recipes,http://www.marthastewart.com/344190/boiled-lentils," pound French green lentils large carrot, peeled, cut into thirds stalk celery, cut into thirds medium onion, peeled, halved bay leafsalt",Sauces and sides
Orzo with Lentils soup,https://food52.com/recipes/2841-orzo-with-lentils-soup, pound lentils pound orzo carrotsBunches parsley tablespoons intense extra virgin olive oil teaspoon sea salt chilly pepper,Sauces and sides
Cilantro Lentils,https://www.foodnetwork.com/recipes/food-network-kitchen/cilantro-lentils-recipe-2111945,"  cups dried red lentils, rinsed large tomato, chopped -inch piece ginger, peeled and minced teaspoon turmericLarge pinch of cayenne pepperKosher salt tablespoons unsalted butter cloves garlic, thinly sliced cup chopped fresh cilantroJuice of  lemon",Sauces and sides
Turnip Greens,https://www.epicurious.com/recipes/food/views/turnip-greens-105051," bunch fresh turnip greens with roots medium piece salt pork cup water teaspoon salt tablespoons bacon drippings, butter, or margarinePinch of sugar optional",Meat dishes
Turnip Green Gomae,https://food52.com/recipes/17593-turnip-green-gomae, tablespoons roasted black sesame seeds  teaspoons sugar tablespoon mirin  tablespoons light soy sauce bunch turnip greens or beet greens or spinach,Salads
Turnip and Rutabaga Gratin,https://www.tastingtable.com/entry_detail/chefs_recipes/2488/A_casserole_for_the_holiday_table.htm," medium rutabaga about  pound, peeled and thinly sliced teaspoon thyme leavesSalt and freshly ground black pepper tablespoons unsalted butter, plus more for buttering the baking dish medium purple turnip about  pound, peeled and thinly sliced cups bread crumbs, preferably homemade cup chicken stock, preferably homemade cup heavy cream tablespoons extra-virgin olive oil",Salads
Portuguese Rice with Turnip Greens - Arroz de Grelos,http://honestcooking.com/portuguese-recipe-arroz-grelos-turnip-greens/," bunch turnip greens tablespoons olive oil garlic cloves, minced onion, minced cups  or . oz uncooked rice cups water tablespoons white wine vinegarCoarse salt",Salads
Turnip Gratin,http://thepioneerwoman.com/cooking/2008/11/turnip-gratin/," whole Turnips cloves to  Cloves Garlic cups Gruyere Cheese tbsp to  Tablespoons ButterChicken brothHeavy CreamSalt And Pepper, to tasteFresh Herbs, to taste",Salads
Turnip-Chorizo Soup,https://www.realsimple.com/food-recipes/browse-all-recipes/turnip-chorizo-soup," tablespoons olive oil cup cubed peeled turnips about  oz. cup chopped yellow onion from  medium ounces sliced dry-cured Spanish chorizo teaspoons chopped garlic about  garlic cloves cups chicken broth teaspoon black pepper cups chopped turnip greens, stems removed about  oz. leaves ounces Parmesan cheese, shaved about  cupHot sauce optional",Meat dishes
Creamy Turnip Soup,http://www.eatingwell.com/recipe/252800/creamy-turnip-soup/," medium turnips about  pounds plus  cups thinly sliced turnip greens or spinach, divided tablespoons extra-virgin olive oil, divided tablespoon butter medium onion, sliced teaspoon dried rosemary teaspoon salt plus  pinch, divided teaspoon freshly ground white pepper plus  pinch, divided cups reduced-sodium chicken broth cup shredded carrot tablespoons thinly sliced scallion greens teaspoons white-wine vinegar",Meat dishes
Turnips And Turnip Greens With Mustard Butter,http://www.foodandwine.com/recipes/turnips-and-turnip-greens-with-mustard-butter," stick  ounces unsalted butter, softened tablespoons whole-grain Dijon mustard tablespoon finely chopped shallots garlic cloves, mincedKosher salt and freshly ground pepper pounds turnip or collard greens, large stems discarded tablespoons extra-virgin olive oil medium onions, halved and thinly sliced oil-packed anchovy fillets, drained and mashed pounds medium turnips, peeled and quartered piquillo peppers, seeded and cut into -inch strips see Note",Meat dishes
Country Turnip Greens,https://www.foodnetwork.com/recipes/trisha-yearwood/country-turnip-greens-5171880," ounces country ham, cubed see Cook' Note cup apple cider vinegar pound stemmed turnip greens see Cook' NoteFreshly cracked black pepper cups low-sodium chicken stock one -ounce carton",Meat dishes
Radish and Turnip Saute,http://www.myrecipes.com/recipe/radish-turnip-saute," bunch radishes about  oz. ounce  Tbsp. unsalted butter tablespoon extra-virgin olive oil ounce young turnips about  small, peeled and cut into -inch pieces cups chopped turnip greens  tablespoons cider vinegarKosher salt and black pepper",Salads
Sous Vide Chicken Breast Recipe,http://www.seriouseats.com/recipes/2015/07/sous-vide-chicken-breast-recipe.html," bone-in, skin-on chicken breast halvesKosher salt and freshly ground black pepper sprigs thyme or rosemary optional",Chicken dishes
Roasted Chicken Breast,https://www.marthastewart.com/1090479/roasted-chicken-breasts," bone-in, skin-on chicken breast half, about  ouncesCoarse salt and freshly ground black pepper",Chicken dishes
Easy Spanish Chicken Breast for 1-or more,https://food52.com/recipes/80496-easy-spanish-chicken-breast-for-1-or-more, piece Thawed Chicken Breast teaspoon chilli powder pinch Salt dash Garlic Powder,Chicken dishes
Chicken Breast with Salsa,https://www.epicurious.com/recipes/food/views/chicken-breast-with-salsa-242444," skinless and boneless chicken breast halves about  oz. eachJuice of  lemon cup extra-virgin olive oil tsp minced garlicSalt and freshly ground black pepper, to tasteSalsa, for serving see recipe Tbsp chopped fresh cilantro leaves, for garnish",Chicken dishes
Chicken breast with avocado salad,https://www.bbcgoodfood.com/recipes/chicken-breast-avocado-salad," skinless chicken breast tsp olive oil  for the salad heaped tsp smoked paprika small avocado , diced tsp red wine vinegar tbsp flat-leaf parsley , roughly chopped medium tomato , choppedhalf small red onion , thinly sliced",Chicken dishes
Almond Encrusted Chicken Breast,https://www.menshealth.com/recipes/almond-encrusted-chicken-breast-0,"  oz. boneless, skinless chicken breast tbsp cornstarch  liquid egg substitute tbsp finely chopped almonds",Chicken dishes
Baked Chicken Breast,http://www.eatingwell.com/recipe/263013/baked-chicken-breast/," cup buttermilk teaspoon paprika teaspoon salt teaspoon black pepper teaspoon crushed red pepper  ounce skinless, boneless chicken breast halves, halved crosswise cup whole-wheat panko bread crumbs or regular panko bread crumbs teaspoons onion powder teaspoon garlic powder teaspoon paprika teaspoon salt teaspoon black pepperNonstick cooking spraySnipped fresh parsley optional",Chicken dishes
Chicken Breast with Garlic and Parsley recipes,http://www.foodandwine.com/recipes/chicken-breast-garlic-and-parsley,"Three -ounce skinless, boneless chicken breast halves, cut into  inch pieces tablespoons Wondra flourkosher saltpepper tablespoons extra-virgin olive oil tablespoons chopped parsley tablespoon chopped garliclemon wedges",Chicken dishes
Chicken Breast Roll-Ups with Prosciutto and Pecorino Cheese,http://www.cookstr.com/recipes/chicken-breast-roll-ups-with-prosciutto-and-pecorino-cheese," chicken breast filets, pounded to  inch . cm thickness slices prosciutto or speck cup  mL grated pecorino cheese tablespoons  mL extra virgin olive oil cup  mL dry white wineSalt, to taste",Chicken dishes
Prosciutto-Wrapped Chicken Breast with Roasted Green Beans,http://www.delish.com/cooking/recipe-ideas/recipes/a15121/prosciutto-chicken-breast-roasted-green-beans-recipe-mslo0211/," oz. green beans tsp. olive oilCoarse salt and ground pepper boneless, skinless chicken breast half thin slices prosciutto wedge lemon",Chicken dishes
Greek Seasoning,https://food52.com/recipes/29388-greek-seasoning,  teaspoons Dried Oregano teaspoon Dried Mint teaspoon Dried Thyme teaspoon Dried Basil teaspoon Dried Marjoram teaspoon Dried Minced Onion teaspoon Dried Minced Garlic,Meat dishes
Kale Chips with Lemon-Pepper Seasoning,http://www.eatingwell.com/recipe/259492/kale-chips-with-lemon-pepper-seasoning/, bunch curly kale tablespoon olive oil teaspoon salt-free lemon pepper seasoning teaspoon kosher salt,Desserts and other sweets
Taco Seasoning,http://userealbutter.com/2009/12/14/taco-seasoning-recipe/, tsp Chili Powder tsp Paprika tsp Cumin tsp Onion Powder tsp Garlic Powder tsp Cayenne,Meat dishes
Whole Avocado Salad with Paprika and Everything Bagel Seasoning recipes,http://www.sippitysup.com/avocado-everything-bagel-seasoning-salad/, ripe avocados teaspoon white balsamic vinegar tablespoon smoked paprikasea salt flakes cup extra-virgin olive oil or to taste teaspoon everything bagel seasoning,Meat dishes
Roasted Cauliflower Popcorn with Chile-Lime Seasoning,https://www.foodnetwork.com/recipes/valerie-bertinelli/roasted-cauliflower-popcorn-with-chile-lime-seasoning-3660148," head cauliflower, florets cut or broken into bite-size pieces tablespoon vegetable oilKosher salt and freshly ground black pepperAbout  tablespoon Mexican chile-lime seasoning, such as Tajin",Chicken dishes
Lamb Seasoning,https://www.menshealth.com/recipes/lamb-seasoning, teaspoons dried parsley teaspoons dried rosemary teaspoons dried thyme,Meat dishes
Cajun Seasoning,https://www.delish.com/cooking/recipe-ideas/a26258870/cajun-seasoning-spice-recipe/, tbsp. paprika tbsp. garlic powder tbsp. oregano tbsp. kosher salt tbsp. onion powder tsp. freshly ground black pepper tsp. cayenne,Meat dishes
Seasoning Rub,http://www.goodhousekeeping.com/food-recipes/a11712/seasoning-rub-recipe-122356/, tsp. cumin tsp. oregano tbsp. chili powder tsp. garlic powder tsp. onion powder tbsp. paprika tbsp. Kosher salt . firmly packed brown sugar,Meat dishes
Italian Seasoning,http://www.thedailymeal.com/recipes/italian-seasoning-recipe-0, Tablespoons dried basil Tablespoons dried oregano Tablespoons dried parsley Tablespoon garlic powder Teaspoon onion powder Teaspoon dried thyme Teaspoon dried rosemary Teaspoon black pepper Teaspoon red pepper flakes,Meat dishes
Shrimp Seasoning,http://www.eatingwell.com/recipe/278473/shrimp-seasoning/, tablespoons chipotle chile powder tablespoons paprika tablespoons ground cumin tablespoons garlic powder,Meat dishes
Parsley Pasta,http://norecipes.com/blog/parsley-pasta/," grams dried spaghetti . ounces grams flat-leaf parsley . ounces just the leaves cup extra virgin olive oil tablespoon olive oil large eggs grams Parmigiano-Reggiano . ounces, grated",Chicken dishes
Parsley Oil,https://www.marthastewart.com/333813/parsley-oil,"Salt large bunches fresh flat-leaf parsley, rinsed cup extra-virgin olive oil",Chicken dishes
Carrots With Parsley,http://www.bbcgoodfood.com/recipes/4996/,"butter. carrots , peeled and cut into batonssmall bunch parsley , chopped",Chicken dishes
Watermelon & Parsley,http://www.bonappetit.com/blogsandforums/blogs/badaily/2012/06/peoples-pops-healthiest-summer.html, pounds whole watermelon about  of  bowling ball-sized watermelon leaves fresh flat-leaf parsley cup  oz organic cane sugar cup  fl oz water,Chicken dishes
Parsley Zucchini,http://www.biggirlssmallkitchen.com/2009/07/cooking-for-one-veggie-bounty.html," teaspoon olive oil large clove garlic, chopped medium-sized zucchini cup of parsley, finely diced teaspoon buttersalt to tastehot pepper",Chicken dishes
Wilted parsley,https://www.latimes.com/recipe/wilted-parsley," bunches curly parsley cloves garlic, thinly sliced cup olive oilJuice of  lemonSalt",Chicken dishes
Parsley Pistou,http://www.pbs.org/food/recipes/parsley-pistou/, bunch fresh italian parsley cup approximately freshly grated horseradish rootSalt to taste cup truffle oil or substitute olive oil,Chicken dishes
Parsley Couscous,http://www.cookstr.com/recipes/parsley-couscous, cups chicken or vegetable stock teaspoon salt cup couscous tablespoon butter cup finely chopped fresh parsley,Salads
Parsley Pistou,http://www.foodandwine.com/recipes/parsley-pistou," cup packed flat-leaf parsley leaves garlic clove, minced cup extra-virgin olive oil tablespoon freshly grated Parmigiano-Reggiano cheese teaspoon finely grated orange zestSalt",Chicken dishes
Parsley Tabbouleh,http://www.eatingwell.com/recipe/252109/parsley-tabbouleh/," small cucumber, peeled, seeded and diced scallions, thinly sliced cup water cup bulgur cup lemon juice tablespoons extra-virgin olive oil teaspoon minced garlic teaspoon salt cup chopped fresh mint tomatoes, dicedFreshly ground pepper, to taste cups finely chopped flat-leaf parsley, about  bunches",Chicken dishes
Potatoes with Parsley recipes,http://www.marthastewart.com/907434/potatoes-parsley, pound small potatoes tablespoon olive oilpeppersaltfresh parsley,Salads
Eggs with Pickled Shallot and Parsley,https://www.epicurious.com/recipes/food/views/eggs-with-pickled-shallot-and-parsley," large eggs small shallot, finely chopped tablespoons fresh lemon juice cup finely chopped fresh parsleyFlaky sea salt",Chicken dishes
Eggs with Pickled Shallot and Parsley recipes,http://www.bonappetit.com/recipe/eggs-with-pickled-shallot-and-parsley," large eggs small shallot, finely chopped tablespoons fresh lemon juice cup finely chopped fresh parsleysea salt flakes",Chicken dishes
Roast Chicken Drumsticks With Parsley & Garlic,http://www.bbcgoodfood.com/recipes/1566/,". tbsp lemon juice- chicken drumsticks garlic cloves , finely chopped. tbsp olive oil. tbsp butter. tbsp fresh parsley , chopped",Chicken dishes
Homemade French Onion Dip recipes,http://thepioneerwoman.com/food-and-friends/how-to-make-french-onion-dip/," cup Sour Cream Tablespoon Dried Chopped Onion teaspoon Onion Powder pinch Garlic Powder teaspoon Salt Tablespoon Finely Chopped Fresh Parsley, Or  Teaspoon Dried Parsley Tablespoon Finely Chopped Fresh Parsley, Or  Teaspoon Dried Parsley Tablespoon Finely Chopped Fresh Parsley, Or  Teaspoon Dried Parsley",Salads
